Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
P0119,APPROVED,Not Applicable,2024-09-06T15:22:42.651000Z,2024-09-06T15:28:16.736000Z,2024-09-06T15:48:57.654000Z,2024-09-06T15:31:08.591203Z,335.0,17,"English, French, Chinese",47,Male,Asian,Canada,Canada,Canada,English,No,Full-Time
P0090,APPROVED,Not Applicable,2024-09-06T15:22:41.525000Z,2024-09-06T15:24:58.235000Z,2024-09-06T15:48:57.924000Z,2024-09-06T15:24:58.768144Z,137.0,73,"English, French",44,Male,White,Canada,Canada,Canada,English,No,Full-Time
P0092,APPROVED,Not Applicable,2024-09-06T15:22:46.448000Z,2024-09-06T15:25:17.966000Z,2024-09-06T15:48:58.235000Z,2024-09-06T15:25:18.610917Z,152.0,594,English,33,Female,White,Canada,Canada,Canada,English,No,Full-Time
P0100,APPROVED,Not Applicable,2024-09-06T15:24:08.483000Z,2024-09-06T15:26:01.230000Z,2024-09-06T15:48:58.498000Z,2024-09-06T15:26:01.871704Z,113.0,763,English,32,Female,White,Canada,Canada,Canada,English,No,Full-Time
P0093,APPROVED,Not Applicable,2024-09-06T15:23:02.661000Z,2024-09-06T15:25:23.651000Z,2024-09-06T15:48:58.765000Z,2024-09-06T15:25:24.259357Z,141.0,36,"Chinese, French, English",23,Male,Asian,China,Canada,China,Chinese,No,Full-Time
P0110,APPROVED,Not Applicable,2024-09-06T15:23:07.057000Z,2024-09-06T15:27:21.812000Z,2024-09-06T15:48:59.023000Z,2024-09-06T15:29:59.103510Z,255.0,37,English,49,Male,Asian,Canada,Canada,Canada,English,No,Full-Time
P0108,APPROVED,Not Applicable,2024-09-06T15:23:12.170000Z,2024-09-06T15:26:39.160000Z,2024-09-06T15:48:59.310000Z,2024-09-06T15:26:40.192374Z,207.0,17,English,52,Female,White,United States,Canada,Canada,English,No,Part-Time
P0158,APPROVED,Not Applicable,2024-09-06T15:25:26.767000Z,2024-09-06T15:31:22.886000Z,2024-09-06T15:48:59.561000Z,2024-09-06T15:32:11.155038Z,357.0,41,"English, Ukrainian",44,Female,White,Ukraine,Canada,Canada,English,No,Part-Time
P0190,APPROVED,Not Applicable,2024-09-06T15:23:07.207000Z,2024-09-06T15:32:33.963000Z,2024-09-06T15:48:59.893000Z,2024-09-06T15:32:34.609220Z,567.0,547,"English, French",55,Female,White,Canada,Canada,Canada,English,Yes,Part-Time
P0101,APPROVED,Not Applicable,2024-09-06T15:23:21.985000Z,2024-09-06T15:26:02.493000Z,2024-09-06T15:49:00.200000Z,2024-09-06T15:26:03.379794Z,161.0,76,"English, Japanese",34,Female,Asian,Canada,Canada,Canada,Japanese,No,Unemployed (and job seeking)
